All by-Identity Ungapped Fragments (Hits based approach)
[Abr.98/Apr.2010/Dec.2011 -- <ortrelles@uma.es>
SeqX filename        : MH232.fasta
SeqY filename        : MH7422.fasta
SeqX name            : gi|54019969|ref|NC_006360.1|
SeqY name            : gi|525903163|ref|NC_021831.1|
SeqX length          : 892758
SeqY length          : 898495
Min.fragment.length  : 100
Min.Identity         : 65
Tot Hits (seeds)     : 15310
Tot Hits (seeds) used: 1994
Total fragments      : 442
========================================================
Total frags      : 353
x========================================================
Type,xStart,yStart,xEnd,yEnd,strand,block,length,score,ident,similarity,porc_ident,SeqX,SeqY,gene,locus_tag,product
Frag,0,206,2700,2906,f,1,2701,97.26,2664.00,98.63,97.26,10508,-,-
GX,1,0,892758,0,f,1,892757,0,0,0,0,0,0,-,-,-
GX,1,0,1392,0,f,1,1391,0,0,0,0,0,0,dnaA,mhp001,chromosomal replication initiation protein
GX,1537,0,2673,0,f,1,1136,0,0,0,0,0,0,dnaN,mhp002,DNA polymerase III subunit beta
GY,0,1,0,898495,f,1,898494,0,0,0,0,0,0,-,-,-
GY,0,207,0,1598,f,1,1391,0,0,0,0,0,0,dnaA,MHL_3508,chromosomal replication initiator protein
GY,0,1743,0,2879,f,1,1136,0,0,0,0,0,0,dnaN,MHL_2995,DNA polymerase III beta subunit
CSB,0,206,2700,2906,f,1,2701,97.26,2664.00,98.63,97.26,10508,-,-
Frag,2695,2903,7122,7330,f,1,4428,96.66,4354.00,98.33,96.66,17120,-,-
GX,1,0,892758,0,f,1,892757,0,0,0,0,0,0,-,-,-
GX,2775,0,4634,0,f,1,1859,0,0,0,0,0,0,gidA,mhp003,tRNA uridine 5-carboxymethylaminomethyl modification protein GidA
GX,4634,0,5092,0,f,1,458,0,0,0,0,0,0,-,mhp004,hypothetical protein
GX,5106,0,6089,0,f,1,983,0,0,0,0,0,0,-,mhp005,MgpA like-protein
GX,6073,0,7053,0,f,1,980,0,0,0,0,0,0,-,mhp006,hypothetical protein
GY,0,1,0,898495,f,1,898494,0,0,0,0,0,0,-,-,-
GY,0,1743,0,2879,f,1,1136,0,0,0,0,0,0,dnaN,MHL_2995,DNA polymerase III beta subunit
