All by-Identity Ungapped Fragments (Hits based approach)
[Abr.98/Apr.2010/Dec.2011 -- <ortrelles@uma.es>
SeqX filename        : MH232.fasta
SeqY filename        : MH7448.fasta
SeqX name            : gi|54019969|ref|NC_006360.1|
SeqY name            : gi|72080342|ref|NC_007332.1|
SeqX length          : 892758
SeqY length          : 920079
Min.fragment.length  : 100
Min.Identity         : 65
Tot Hits (seeds)     : 16744
Tot Hits (seeds) used: 2256
Total fragments      : 505
========================================================
Total frags      : 403
x========================================================
Type,xStart,yStart,xEnd,yEnd,strand,block,length,score,ident,similarity,porc_ident,SeqX,SeqY,gene,locus_tag,product
Frag,0,206,2700,2906,f,1,2701,97.33,2665.00,98.67,97.33,10516,-,-
GX,1,0,892758,0,f,1,892757,0,0,0,0,0,0,-,-,-
GX,1,0,1392,0,f,1,1391,0,0,0,0,0,0,dnaA,mhp001,chromosomal replication initiation protein
GX,1537,0,2673,0,f,1,1136,0,0,0,0,0,0,dnaN,mhp002,DNA polymerase III subunit beta
GY,0,1,0,920079,f,1,920078,0,0,0,0,0,0,-,-,-
GY,0,198,0,1598,f,1,1400,0,0,0,0,0,0,dnaA,MHP7448_0001,chromosomal replication initiation protein
GY,0,1743,0,2879,f,1,1136,0,0,0,0,0,0,dnaN,MHP7448_0002,DNA polymerase III beta subunit
CSB,0,206,2700,2906,f,1,2701,97.33,2665.00,98.67,97.33,10516,-,-
Frag,2695,2903,7122,7330,f,1,4428,96.93,4360.00,98.46,96.93,17168,-,-
GX,1,0,892758,0,f,1,892757,0,0,0,0,0,0,-,-,-
GX,2775,0,4634,0,f,1,1859,0,0,0,0,0,0,gidA,mhp003,tRNA uridine 5-carboxymethylaminomethyl modification protein GidA
GX,4634,0,5092,0,f,1,458,0,0,0,0,0,0,-,mhp004,hypothetical protein
GX,5106,0,6089,0,f,1,983,0,0,0,0,0,0,-,mhp005,MgpA like-protein
GX,6073,0,7053,0,f,1,980,0,0,0,0,0,0,-,mhp006,hypothetical protein
GY,0,1,0,920079,f,1,920078,0,0,0,0,0,0,-,-,-
GY,0,1743,0,2879,f,1,1136,0,0,0,0,0,0,dnaN,MHP7448_0002,DNA polymerase III beta subunit
GY,0,3010,0,4842,f,1,1832,0,0,0,0,0,0,gidA,MHP7448_0003,tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
GY,0,4854,0,5300,f,1,446,0,0,0,0,0,0,-,MHP7448_0004,hypothetical protein
GY,0,5314,0,6297,f,1,983,0,0,0,0,0,0,-,MHP7448_0005,putative MgpA like-protein
GY,0,6299,0,7261,f,1,962,0,0,0,0,0,0,-,MHP7448_0006,DHH family phosphoesterase
Frag,7088,7297,8980,9189,f,1,1893,95.56,1851.00,97.78,95.56,7236,-,-
GX,1,0,892758,0,f,1,892757,0,0,0,0,0,0,-,-,-
GX,7156,0,7725,0,f,1,569,0,0,0,0,0,0,-,mhp007,hypothetical protein
GX,7815,0,8816,0,f,1,1001,0,0,0,0,0,0,ftsY,mhp008,cell division protein ftsY
GY,0,1,0,920079,f,1,920078,0,0,0,0,0,0,-,-,-
GY,0,6299,0,7261,f,1,962,0,0,0,0,0,0,-,MHP7448_0006,DHH family phosphoesterase
GY,0,7290,0,7934,f,1,644,0,0,0,0,0,0,-,MHP7448_0007,hypothetical protein
GY,0,8024,0,9025,f,1,1001,0,0,0,0,0,0,ftsY,MHP7448_0008,cell division protein ftsY
Frag,8811,9021,11024,11234,f,1,2214,95.30,2162.00,97.65,95.30,8440,-,-
GX,1,0,892758,0,f,1,892757,0,0,0,0,0,0,-,-,-
GX,8985,0,11006,0,f,1,2021,0,0,0,0,0,0,-,mhp009,hypothetical protein
